Relation Name	Module	Level	Context	Notation	Formal Definition	OWL Characteristics	OWL / CCO Realization	subPropertyOf	Domain	Range	IRI	Provenance	Notes
Is Subordinate Role To	cco/organizational	Instance-level	Organization	—	inverse of has subordinate role	owl:inverseOf	CCO	—	Role	Role	cco:ont00001831	[SME-CONFIRMED-LABEL]	No super-property declared in loaded CCO; module follows Has Subordinate Role's assignment per inverse-pair discipline. Confirmed 2026-05-05 by SME label-semantic review.
Is Subsidiary Of	cco/organizational	Instance-level	Organization	—	inverse of has subsidiary	owl:inverseOf	CCO	cco:ont00001939	Organization	Organization	cco:ont00001815	[QUERIED-CCO]	Chains to cco:ont00001939 is_affiliated_with
Is Supervised By	cco/organizational	Instance-level	Organization	—	inverse of supervises	owl:inverseOf	CCO	cco:ont00001939	Agent	Agent	cco:ont00001798	[QUERIED-CCO]	Chains to cco:ont00001939 is_affiliated_with
Supervises	cco/organizational	Instance-level	Organization	—	Agent supervises Agent	—	CCO	cco:ont00001977	Agent	Agent	cco:ont00001943	[QUERIED-CCO]	Chains to cco:ont00001977 has_affiliate
Is Permitted By	cco/deontic	Instance-level	Deontic	—	inverse of permits	owl:inverseOf	CCO	cco:ont00001920	Action	Information Content Entity	cco:ont00001998	[QUERIED-CCO]	Chains via cco:ont00001920 prescribed_by
Is Prohibited By	cco/deontic	Instance-level	Deontic	—	inverse of prohibits	owl:inverseOf	CCO	cco:ont00001920	Action	Information Content Entity	cco:ont00001817	[QUERIED-CCO]	Chains via cco:ont00001920 prescribed_by
Is Required By	cco/deontic	Instance-level	Deontic	—	inverse of requires	owl:inverseOf	CCO	cco:ont00001920	Action	Information Content Entity	cco:ont00001807	[QUERIED-CCO]	Chains via cco:ont00001920 prescribed_by
Permits	cco/deontic	Instance-level	Deontic	—	Directive permits Action	—	CCO	cco:ont00001942	Information Content Entity	Action	cco:ont00001910	[QUERIED-CCO]	Chains via cco:ont00001942 prescribes
Prescribed By	cco/deontic	Instance-level	Deontic	—	inverse of prescribes	owl:inverseOf	CCO	—	Action	Information Content Entity	cco:ont00001920	[QUERIED-CCO]	Chains via inverse pattern; module by primary semantic role
Prescribes	cco/deontic	Instance-level	Deontic	—	Directive prescribes Action	—	CCO	cco:ont00001808	Information Content Entity	Action	cco:ont00001942	[QUERIED-CCO]	Chains to cco:ont00001808 (CCO is_about); module assigned by primary semantic role (deontic), not by chain ancestor (information-bridge)
Prohibits	cco/deontic	Instance-level	Deontic	—	Directive prohibits Action	—	CCO	cco:ont00001942	Information Content Entity	Action	cco:ont00001800	[QUERIED-CCO]	Chains via cco:ont00001942 prescribes
Requires	cco/deontic	Instance-level	Deontic	—	Directive requires Action	—	CCO	cco:ont00001942	Information Content Entity	Action	cco:ont00001974	[QUERIED-CCO]	Chains via cco:ont00001942 prescribes
Commits To	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Agent commits to Plan Specification	—	OFI extension	—	Agent	Plan Specification	ofi:0000007	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] OFI deontic; INTERIM IRI; ground for binding-act semantics
Discharges	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Process satisfies Directive ICE	—	OFI extension	ofi:0000004	Process	Directive ICE	ofi:0000005	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] OFI deontic; INTERIM IRI; subPropertyOf realizes_directive; disjoint with violates over the same directive
Has Commitment	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Plan Specification is committed to by Agent	owl:inverseOf	OFI extension	—	Plan Specification	Agent	ofi:0000008	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] OFI deontic; INTERIM IRI; inverse of commits_to
Has Obligation Bearer	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Directive ICE binds Agent (target)	—	OFI extension	—	Directive ICE	Agent	ofi:0000003	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] OFI deontic; INTERIM IRI; the bound party, not the issuer
Prescribed By (OFI)	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Directive ICE issued by Agent	—	OFI extension	—	Directive ICE	Agent	ofi:0000001	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] OFI deontic; INTERIM IRI; distinct from CCO prescribed_by (CCO version covers Directive→Action; OFI version covers Directive→Issuing-Agent)
Prescribes (OFI)	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Agent issues Directive ICE	owl:inverseOf	OFI extension	—	Agent	Directive ICE	ofi:0000002	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] OFI deontic; INTERIM IRI; inverse of OFI prescribed_by
Realizes Directive	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Process realizes Directive ICE via concretized Realizable	—	OFI extension	—	Process	Directive ICE	ofi:0000004	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] STANDALONE — NOT subPropertyOf realizes (would crash: range conflict between SDC and GDC). Property chain: realizes ∘ concretizes → realizes_directive. Mediates through Realizable that concretizes the Directive (per RDM v1.2.1 chain). Originally LOAD-BEARING for spec §3.4.1 and Phase 7; per ADR-008 Option A the constitution.ttl pipeline is rolled forward to Phase 8 and the OFI-specific RDM chain decomposition is deferred to v0.2.
Violates	[V0.2-CANDIDATE]	Instance-level	Deontic	—	Process fails Directive ICE conditions	—	OFI extension	ofi:0000004	Process	Directive ICE	ofi:0000006	[PROVENANCE-AUTHORED]	[V0.2-DEFERRED PER ADR-008] OFI deontic; INTERIM IRI; subPropertyOf realizes_directive; disjoint with discharges
